product_a,product_b,label,case_type,normalized_a,normalized_b,embedding_cosine,cross_encoder_score
rubber,eraser,1,semantic_synonym,rubber,eraser,0.526833,
PC,computer,1,semantic_synonym,pc,computer,0.802434,
AC,air conditioner,1,semantic_synonym,ac,air conditioner,0.654695,
fridge,refrigerator,1,semantic_synonym,fridge,refrigerator,0.879148,
cellphone,mobile phone,1,semantic_synonym,cellphone,mobile phone,0.894548,
air refresher,air freshener,1,semantic_synonym,air refresher,air freshener,0.88967,
desktop computer,computer desktop,1,word_order,desktop computer,computer desktop,0.958472,
blue gel pen,gel pen blue,1,word_order,blue gel pen,gel pen blue,0.954965,
surgical latex gloves,latex surgical gloves,1,word_order,surgical latex gloves,latex surgical gloves,0.982526,
mobile phone charger,charger for mobile phone,1,paraphrase,mobile phone charger,charger mobile phone,0.970442,
stainless steel water bottle,water bottle stainless steel,1,paraphrase,stainless steel water bottle,water bottle stainless steel,0.981293,
laser printer,printer laser,1,word_order,laser printer,printer laser,0.989333,
refrigerator single door,single door fridge,1,semantic_synonym,refrigerator single door,single door fridge,0.937159,
notebook computer,laptop,1,semantic_synonym,notebook computer,laptop,0.786861,
ballpoint pen,ball pen,1,semantic_synonym,ballpoint pen,ball pen,0.880467,
air conditioner 1.5 ton,1.5 ton AC,1,abbreviation,air conditioner 1 5 ton,1 5 ton ac,0.839707,
desktop pc,desktop computer,1,abbreviation,desktop pc,desktop computer,0.951189,
cell phone,mobile phone,1,semantic_synonym,cell phone,mobile phone,0.916923,
printer cartrige,printer cartridge,1,typo,printer cartrige,printer cartridge,0.919869,
refrigrator,refrigerator,1,typo,refrigrator,refrigerator,0.718274,
rubber,rubber gloves,0,related_but_not_same,rubber,rubber gloves,0.817054,
computer,computer table,0,related_but_not_same,computer,computer table,0.82123,
AC,AC remote,0,related_but_not_same,ac,ac remote,0.715994,
laptop,laptop bag,0,related_but_not_same,laptop,laptop bag,0.822039,
mobile phone,mobile phone cover,0,related_but_not_same,mobile phone,mobile phone cover,0.777308,
printer,printer paper,0,related_but_not_same,printer,printer paper,0.88345,
air conditioner,air conditioner stand,0,related_but_not_same,air conditioner,air conditioner stand,0.765871,
refrigerator,refrigerator stabilizer,0,related_but_not_same,refrigerator,refrigerator stabilizer,0.728679,
gel pen,pen drive,0,related_but_not_same,gel pen,pen drive,0.666853,
keyboard,keyboard cover,0,related_but_not_same,keyboard,keyboard cover,0.83003,
air freshener,air purifier,0,related_but_not_same,air freshener,air purifier,0.840665,
computer,printer,0,clearly_different,computer,printer,0.637892,
rubber,computer,0,clearly_different,rubber,computer,0.572167,
refrigerator,stethoscope,0,clearly_different,refrigerator,stethoscope,0.536084,
mobile phone,office chair,0,clearly_different,mobile phone,office chair,0.508529,
surgical gloves,desktop computer,0,clearly_different,surgical gloves,desktop computer,0.403287,
air conditioner 1 ton,air conditioner 2 ton,0,same_product_different_spec,air conditioner 1 ton,air conditioner 2 ton,0.849047,
computer ram 8gb,computer ram 16gb,0,same_product_different_spec,computer ram 8gb,computer ram 16gb,0.810647,
cotton gauze 18 meter x 60 centimeter,cotton gauze 18 meter x 90 centimeter,0,same_product_different_spec,cotton gauze 18 meter 60 centimeter,cotton gauze 18 meter 90 centimeter,0.952036,
latex surgical gloves size 7,latex surgical gloves size 8,0,same_product_different_spec,latex surgical gloves size 7,latex surgical gloves size 8,0.836549,
paracetamol 500mg,paracetamol 650mg,0,same_product_different_spec,paracetamol 500mg,paracetamol 650mg,0.797165,
