product_a,product_b,label,case_type,retrieval_rank_within_eval_candidates,hit_at_1,hit_at_5,hit_at_10,hit_at_20,hit_at_50,candidate_pool_size_for_product_a,global_unique_product_count
rubber,eraser,1,semantic_synonym,3,False,True,True,True,True,3,64
rubber,rubber gloves,0,related_but_not_same,1,True,True,True,True,True,3,64
rubber,computer,0,clearly_different,2,False,True,True,True,True,3,64
PC,computer,1,semantic_synonym,1,True,True,True,True,True,1,64
AC,air conditioner,1,semantic_synonym,2,False,True,True,True,True,2,64
AC,AC remote,0,related_but_not_same,1,True,True,True,True,True,2,64
fridge,refrigerator,1,semantic_synonym,1,True,True,True,True,True,1,64
cellphone,mobile phone,1,semantic_synonym,1,True,True,True,True,True,1,64
air refresher,air freshener,1,semantic_synonym,1,True,True,True,True,True,1,64
desktop computer,computer desktop,1,word_order,1,True,True,True,True,True,1,64
blue gel pen,gel pen blue,1,word_order,1,True,True,True,True,True,1,64
surgical latex gloves,latex surgical gloves,1,word_order,1,True,True,True,True,True,1,64
mobile phone charger,charger for mobile phone,1,paraphrase,1,True,True,True,True,True,1,64
stainless steel water bottle,water bottle stainless steel,1,paraphrase,1,True,True,True,True,True,1,64
laser printer,printer laser,1,word_order,1,True,True,True,True,True,1,64
refrigerator single door,single door fridge,1,semantic_synonym,1,True,True,True,True,True,1,64
notebook computer,laptop,1,semantic_synonym,1,True,True,True,True,True,1,64
ballpoint pen,ball pen,1,semantic_synonym,1,True,True,True,True,True,1,64
air conditioner 1.5 ton,1.5 ton AC,1,abbreviation,1,True,True,True,True,True,1,64
desktop pc,desktop computer,1,abbreviation,1,True,True,True,True,True,1,64
cell phone,mobile phone,1,semantic_synonym,1,True,True,True,True,True,1,64
printer cartrige,printer cartridge,1,typo,1,True,True,True,True,True,1,64
refrigrator,refrigerator,1,typo,1,True,True,True,True,True,1,64
computer,computer table,0,related_but_not_same,1,True,True,True,True,True,2,64
computer,printer,0,clearly_different,2,False,True,True,True,True,2,64
laptop,laptop bag,0,related_but_not_same,1,True,True,True,True,True,1,64
mobile phone,mobile phone cover,0,related_but_not_same,1,True,True,True,True,True,2,64
mobile phone,office chair,0,clearly_different,2,False,True,True,True,True,2,64
printer,printer paper,0,related_but_not_same,1,True,True,True,True,True,1,64
air conditioner,air conditioner stand,0,related_but_not_same,1,True,True,True,True,True,1,64
refrigerator,refrigerator stabilizer,0,related_but_not_same,1,True,True,True,True,True,2,64
refrigerator,stethoscope,0,clearly_different,2,False,True,True,True,True,2,64
gel pen,pen drive,0,related_but_not_same,1,True,True,True,True,True,1,64
keyboard,keyboard cover,0,related_but_not_same,1,True,True,True,True,True,1,64
air freshener,air purifier,0,related_but_not_same,1,True,True,True,True,True,1,64
surgical gloves,desktop computer,0,clearly_different,1,True,True,True,True,True,1,64
air conditioner 1 ton,air conditioner 2 ton,0,same_product_different_spec,1,True,True,True,True,True,1,64
computer ram 8gb,computer ram 16gb,0,same_product_different_spec,1,True,True,True,True,True,1,64
cotton gauze 18 meter x 60 centimeter,cotton gauze 18 meter x 90 centimeter,0,same_product_different_spec,1,True,True,True,True,True,1,64
latex surgical gloves size 7,latex surgical gloves size 8,0,same_product_different_spec,1,True,True,True,True,True,1,64
paracetamol 500mg,paracetamol 650mg,0,same_product_different_spec,1,True,True,True,True,True,1,64
